index,year,period,periodName,value,footnotes,series_title,series_id,seasonality,survey_name,survey_abbreviation,measure_data_type,area,item,commerce_industry,latest,BY,BY_VALUE
74,2009,M13,Annual,109.5,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.87390263367917
75,2008,M13,Annual,107.3,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.8563447725458898
76,2007,M13,Annual,104.9,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.8371907422186753
77,2006,M13,Annual,103.2,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.8236233040702314
78,2005,M13,Annual,102.5,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.8180367118914605
79,2004,M13,Annual,100.9,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.8052673583399841
80,2010,M13,Annual,203.4,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.8377265238879736
81,2009,M13,Annual,200.6,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.8261943986820428
82,2008,M13,Annual,196.2,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.8080724876441515
83,2007,M13,Annual,188.6,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.7767710049423393
84,2006,M13,Annual,182.8,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.7528830313014827
85,2005,M13,Annual,176.0,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.7248764415156507
86,2004,M13,Annual,168.0,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.6919275123558484
87,2003,M13,Annual,162.2,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.6680395387149917
88,2002,M13,Annual,157.3,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.6478583196046128
89,2001,M13,Annual,154.7,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.637149917627677
90,2000,M13,Annual,149.9,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.6173805601317958
91,1999,M13,Annual,144.8,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.5963756177924218
92,1998,M13,Annual,143.4,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.5906095551894563
93,1997,M13,Annual,142.7,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.5877265238879735
94,1996,M13,Annual,140.8,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.5799011532125206
95,1995,M13,Annual,137.3,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.5654859967051071
96,2010,M13,Annual,203.0,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.8543771043771043
97,2009,M13,Annual,199.2,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.8383838383838383
98,2008,M13,Annual,193.8,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.8156565656565657
99,2007,M13,Annual,188.3,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.7925084175084176
100,2006,M13,Annual,181.4,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.7634680134680135
101,2005,M13,Annual,175.0,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.7365319865319866
102,2004,M13,Annual,169.6,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.7138047138047138
103,2003,M13,Annual,163.0,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.6860269360269361
104,2002,M13,Annual,156.8,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.65993265993266
105,2001,M13,Annual,152.6,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.6422558922558923
106,2000,M13,Annual,149.0,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.6271043771043772
107,1999,M13,Annual,145.6,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.6127946127946128
108,1998,M13,Annual,144.1,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.6064814814814815
109,1997,M13,Annual,142.0,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.5976430976430976
110,1996,M13,Annual,138.2,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.5816498316498316
111,1995,M13,Annual,135.0,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.5681818181818182
112,2010,M13,Annual,191.1,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.8946629213483146
113,2009,M13,Annual,187.4,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.8773408239700375
114,2008,M13,Annual,181.6,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.850187265917603
115,2007,M13,Annual,177.0,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.8286516853932584
116,2006,M13,Annual,169.9,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.7954119850187267
117,2005,M13,Annual,163.9,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.7673220973782772
118,2004,M13,Annual,159.8,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.7481273408239701
119,2003,M13,Annual,151.7,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.7102059925093632
120,2002,M13,Annual,144.1,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.674625468164794
121,2001,M13,Annual,140.1,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.6558988764044944
122,2000,M13,Annual,137.6,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.6441947565543071
123,1999,M13,Annual,135.4,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.6338951310861424
124,1998,M13,Annual,134.8,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.6310861423220975
125,1997,M13,Annual,133.3,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.6240636704119851
126,1996,M13,Annual,130.1,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.6090823970037453
127,1995,M13,Annual,127.6,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.5973782771535581
128,2010,M13,Annual,196.1,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,1.0051255766273706
129,2009,M13,Annual,172.5,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.8841619682214249
130,2008,M13,Annual,211.9,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,1.0861096873398257
131,2007,M13,Annual,190.5,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.9764223475140954
132,2006,M13,Annual,179.3,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.919015889287545
133,2005,M13,Annual,156.3,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.8011276268580216
134,2004,M13,Annual,142.8,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.7319323423885188
135,2003,M13,Annual,118.4,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.6068682726806767
136,2002,M13,Annual,116.2,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.5955920041004613
137,2001,M13,Annual,116.1,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.5950794464377243
138,2000,M13,Annual,119.8,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.6140440799589953
139,1999,M13,Annual,115.8,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.5935417734495131
140,1998,M13,Annual,120.9,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.6196822142491031
141,1997,M13,Annual,124.7,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.6391594054331112
142,1996,M13,Annual,123.7,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.6340338288057407
143,1995,M13,Annual,128.2,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.6570989236289082
