index,year,period,periodName,value,footnotes,series_title,series_id,seasonality,survey_name,survey_abbreviation,measure_data_type,area,item,commerce_industry,latest,BY,BY_VALUE
144,2021,M13,Annual,270.970,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,1.0469802288156225
145,2020,M13,Annual,258.811,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,1.0
146,2019,M13,Annual,255.657,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.9878135009717517
147,2018,M13,Annual,251.107,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.9702331044661936
148,2017,M13,Annual,245.120,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.9471003937236053
149,2016,M13,Annual,240.007,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.9273446646394474
150,2015,M13,Annual,237.017,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.9157918326500806
151,2014,M13,Annual,236.736,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.9147060982724846
152,2013,M13,Annual,232.957,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.9001047096143518
153,2012,M13,Annual,229.594,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.8871106714938701
154,2011,M13,Annual,224.939,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.8691245735304914
155,2010,M13,Annual,218.056,[{}],"All items in U.S. city average, all urban consumers, not seasonally adjusted",CUUR0000SA0,Not Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),CU,All items,U.S. city average,All items,,,2020,0.842529877014501
156,2021,M13,Annual,128.720,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,1.0272944932162809
157,2020,M13,Annual,125.3,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,1.0
158,2019,M13,Annual,124.6,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.994413407821229
159,2018,M13,Annual,123.3,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.9840383080606544
160,2017,M13,Annual,121.6,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.9704708699122107
161,2016,M13,Annual,120.2,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.9592976855546689
162,2015,M13,Annual,119.3,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.9521149241819633
163,2014,M13,Annual,117.6,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.9385474860335196
164,2013,M13,Annual,116.0,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.9257781324820431
165,2012,M13,Annual,114.8,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.9162011173184358
166,2011,M13,Annual,112.3,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.8962490023942538
167,2010,M13,Annual,110.4,[{}],"PPI industry sub-sector data for Transportation equipment manufacturing, not seasonally adjusted",PCU336---336---,Not Seasonally Adjusted,PPI Industry Data,PC,Transportation equipment manufacturing,,Transportation equipment manufacturing,Transportation equipment manufacturing,,2020,0.8810853950518756
168,2021,M13,Annual,246.326,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,1.0145222405271828
169,2020,M13,Annual,242.8,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,1.0
170,2019,M13,Annual,239.2,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.9851729818780889
171,2018,M13,Annual,234.6,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.9662273476112025
172,2017,M13,Annual,230.4,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.9489291598023064
173,2016,M13,Annual,227.9,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.9386326194398682
174,2015,M13,Annual,224.4,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.9242174629324547
175,2014,M13,Annual,222.5,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.9163920922570016
176,2013,M13,Annual,219.1,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.9023887973640856
177,2012,M13,Annual,215.7,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.8883855024711697
178,2011,M13,Annual,210.8,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.8682042833607908
179,2010,M13,Annual,203.4,[{}],"PPI industry group data for Aerospace product and parts manufacturing, not seasonally adjusted",PCU3364--3364--,Not Seasonally Adjusted,PPI Industry Data,PC,Aerospace product and parts manufacturing,,Aerospace product and parts manufacturing,Aerospace product and parts manufacturing,,2020,0.8377265238879736
180,2021,M13,Annual,244.608,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,1.0294949494949495
181,2020,M13,Annual,237.6,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,1.0
182,2019,M13,Annual,233.6,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.9831649831649831
183,2018,M13,Annual,228.9,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.9633838383838385
184,2017,M13,Annual,225.0,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.946969696969697
185,2016,M13,Annual,222.4,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.9360269360269361
186,2015,M13,Annual,220.4,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.9276094276094277
187,2014,M13,Annual,216.1,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.9095117845117845
188,2013,M13,Annual,211.9,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.8918350168350169
189,2012,M13,Annual,209.5,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.8817340067340067
190,2011,M13,Annual,206.7,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.8699494949494949
191,2010,M13,Annual,203.0,[{}],"PPI industry group data for Ship and boat building, not seasonally adjusted",PCU3366--3366--,Not Seasonally Adjusted,PPI Industry Data,PC,Ship and boat building,,Ship and boat building,Ship and boat building,,2020,0.8543771043771043
192,2021,M13,Annual,218.335,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,1.0221676029962548
193,2020,M13,Annual,213.6,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,1.0
194,2019,M13,Annual,210.9,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.9873595505617978
195,2018,M13,Annual,207.6,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.9719101123595506
196,2017,M13,Annual,205.4,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.9616104868913858
197,2016,M13,Annual,204.4,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.9569288389513109
198,2015,M13,Annual,203.9,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.9545880149812734
199,2014,M13,Annual,200.2,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.9372659176029963
200,2013,M13,Annual,196.7,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.920880149812734
201,2012,M13,Annual,196.4,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.9194756554307116
202,2011,M13,Annual,195.0,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.9129213483146068
203,2010,M13,Annual,191.1,[{}],"PPI industry data for Ship building and repairing, not seasonally adjusted",PCU336611336611,Not Seasonally Adjusted,PPI Industry Data,PC,Ship building and repairing,,Ship building and repairing,Ship building and repairing,,2020,0.8946629213483146
204,2021,M13,Annual,292.158,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,1.4974782162993339
205,2020,M13,Annual,195.1,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,1.0
206,2019,M13,Annual,206.7,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,1.0594566888774988
207,2018,M13,Annual,211.5,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,1.0840594566888775
208,2017,M13,Annual,191.4,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.9810353664787289
209,2016,M13,Annual,175.2,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.8980010251153254
210,2015,M13,Annual,184.0,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,0.9431060994361866
211,2014,M13,Annual,201.0,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,1.0302409021014864
212,2013,M13,Annual,198.7,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,1.018452075858534
213,2012,M13,Annual,207.6,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,1.0640697078421322
214,2011,M13,Annual,217.2,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,1.1132752434648898
215,2010,M13,Annual,196.1,[{}],"PPI industry sub-sector data for Primary metal mfg, not seasonally adjusted",PCU331---331---,Not Seasonally Adjusted,PPI Industry Data,PC,Primary metal mfg,,Primary metal mfg,Primary metal mfg,,2020,1.0051255766273706
